body,votes,tags,link,title
"<div class=""post-text"" itemprop=""text"">

<p>Recently, I ran some of my JavaScript code through Crockford's <a href=""http://www.jslint.com/"">JSLint</a>, and it gave the following error:</p>

<blockquote>
  <p>Problem at line 1 character 1: Missing ""use strict"" statement.</p>
</blockquote>

<p>Doing some searching, I realized that some people add <code>""use strict"";</code> into their JavaScript code. Once I added the statement, the error stopped appearing. Unfortunately, Google did not reveal much of the history behind this string statement. Certainly it must have something to do with how the JavaScript is interpreted by the browser, but I have no idea what the effect would be.</p>

<p>So what is <code>""use strict"";</code> all about, what does it imply, and is it still relevant?</p>

<p>Do any of the current browsers respond to the <code>""use strict"";</code> string or is it for future use?</p>
    </div>",4390,"javascript,syntax,jslint,use-strict",http://stackoverflow.com/questions/1335851/what-does-use-strict-do-in-javascript-and-what-is-the-reasoning-behind-it,"What does “use strict” do in JavaScript, and what is the reasoning behind it?"
"<div class=""post-text"" itemprop=""text"">

<p>I mistakenly added files using the command:</p>

<pre><code>git add myfile.txt
</code></pre>

<p>I have not yet run <code>git commit</code>. Is there a way to undo this, so these files won't be included in the commit?</p>
    </div>",4463,"git,version-control,git-stage",http://stackoverflow.com/questions/348170/undo-git-add-before-commit,Undo 'git add' before commit
"<div class=""post-text"" itemprop=""text"">

<p>Programming language books explain that value types are created on the stack, and reference types are created on the heap, without explaining what these two things are. I haven't read a clear explanation of this.  I understand what <em>a stack</em> is, but where and what are they (physically in a real computer's memory)?  </p>

<ul>
<li>To what extent are they controlled by the OS or language runtime?</li>
<li>What is their scope?</li>
<li>What determines the size of each of them?</li>
<li>What makes one faster? </li>
</ul>
    </div>",4750,"memory-management,language-agnostic,stack,heap",http://stackoverflow.com/questions/79923/what-and-where-are-the-stack-and-heap,What and where are the stack and heap?
"<div class=""post-text"" itemprop=""text"">

<p>How can I redirect the user from one page to another using jQuery?</p>
    </div>",4841,"javascript,jquery,redirect",http://stackoverflow.com/questions/503093/how-can-i-make-a-page-redirect-using-jquery,How can I make a page redirect using jQuery?
"<div class=""post-text"" itemprop=""text"">

<p>After reading <a href=""http://groups.google.com/group/comp.lang.c++.moderated/msg/33f173780d58dd20"">Hidden Features and Dark Corners of C++/STL</a> on <code>comp.lang.c++.moderated</code>, I was completely surprised that the following snippet compiled and worked in both Visual Studio 2008 and G++ 4.4.</p>

<p>Here's the code:</p>

<pre><code>#include &lt;stdio.h&gt;
int main()
{
    int x = 10;
    while (x --&gt; 0) // x goes to 0
    {
        printf(""%d "", x);
    }
}
</code></pre>

<p>I'd assume this is C, since it works in GCC as well. Where is this defined in the standard, and where has it come from?</p>
    </div>",5140,"c++,c,operators,code-formatting,standards-compliance",http://stackoverflow.com/questions/1642028/what-is-the-name-of-the-operator,What is the name of the “-->” operator?
"<div class=""post-text"" itemprop=""text"">

<p>I've been messing around with <a href=""http://en.wikipedia.org/wiki/JSON"">JSON</a> for some time, just pushing it out as text and it hasn't hurt anybody (that I know of), but I'd like to start doing things properly.</p>

<p>I have seen <em>so</em> many purported ""standards"" for the JSON content type:</p>

<pre><code>application/json
application/x-javascript
text/javascript
text/x-javascript
text/x-json
</code></pre>

<p>But which is correct, or best? I gather that there are security and browser support issues varying between them.</p>

<p>I know there's a similar question, <em><a href=""http://stackoverflow.com/questions/404470/what-mime-type-if-json-is-being-returned-by-a-rest-api"">What MIME type if JSON is being returned by a REST API?</a></em>, but I'd like a slightly more targeted answer.</p>
    </div>",6476,"json,content-type",http://stackoverflow.com/questions/477816/what-is-the-correct-json-content-type,What is the correct JSON content type?
"<div class=""post-text"" itemprop=""text"">

<p>How would you explain <em>JavaScript</em> closures to someone with a knowledge of the concepts which make up them (for example, functions, variables and the like), but does not understand closures themselves?</p>

<p>I have seen <a href=""http://en.wikipedia.org/wiki/Scheme_%28programming_language%29"">the Scheme example</a> given on Stack Overflow, and it did not help.</p>
    </div>",5547,"javascript,closures",http://stackoverflow.com/questions/111102/how-do-javascript-closures-work,How do JavaScript closures work?
"<div class=""post-text"" itemprop=""text"">

<p>What are the differences between <code>git pull</code> and <code>git fetch</code>?</p>
    </div>",5822,"git,git-pull,git-fetch",http://stackoverflow.com/questions/292357/what-are-the-differences-between-git-pull-and-git-fetch,What are the differences between 'git pull' and 'git fetch'?
"<div class=""post-text"" itemprop=""text"">

<p>I want to delete a branch both locally and on my remote project fork on <em>GitHub</em>.</p>

<h3>Successfully Deleted Local Branch</h3>

<pre><code>$ git branch -D bugfix
Deleted branch bugfix (was 2a14ef7).
</code></pre>

<p><em>Note:</em> The uppercase <code>-D</code> option is a shortcut for <code>--delete --force</code>. If you want to delete a local branch is already fully merged in its upstream branch, use <code>-d</code> which is a shortcut for <code>--delete</code> (no forcing is needed in that case).</p>

<h3>Failed Attempts to Delete Remote Branch</h3>

<pre><code>$ git branch -d remotes/origin/bugfix
error: branch 'remotes/origin/bugfix' not found.

$ git branch -d origin/bugfix
error: branch 'origin/bugfix' not found.

$ git branch -rd origin/bugfix
Deleted remote branch origin/bugfix (was 2a14ef7).

$ git push
Everything up-to-date

$ git pull
From github.com:gituser/gitproject
* [new branch] bugfix -&gt; origin/bugfix
Already up-to-date.
</code></pre>

<p>What do I need to do differently to successfully delete the
<code>remotes/origin/bugfix</code> branch both locally and on GitHub?</p>
    </div>",7050,"git,github,git-branch,git-remote",http://stackoverflow.com/questions/2003505/delete-a-git-branch-both-locally-and-remotely,Delete a Git branch both locally and remotely
"<div class=""post-text"" itemprop=""text"">

<p>I committed the wrong files to Git.</p>

<p>How can I undo this commit?</p>
    </div>",9603,"git,git-commit,git-reset",http://stackoverflow.com/questions/927358/how-do-you-undo-the-last-commit,How do you undo the last commit?
"<div class=""post-text"" itemprop=""text"">

<p>I wrote the wrong thing in a commit message.</p>

<p>How can I change the message? The commit has not been pushed yet.</p>
    </div>",7688,"git,git-commit,git-rewrite-history,amend",http://stackoverflow.com/questions/179123/edit-an-incorrect-commit-message-in-git,Edit an incorrect commit message in Git
